table11	table12	table13	table14	table15	table16	table17	table18	table19	table110	table111	table112
17492	71.15784	3.18601	61	67	69	71	73	75	89	0	0
17492	71.15784	2.606167	62	68	69.5	71	73	74.5	85	0	0
17492	-2.855446	.9218711	-5.158738	-3.811404	-3.397627	-2.927855	-2.448322	-1.837338	6.732431	0	0
17492	-2.855446	.7767228	-5.158738	-3.662303	-3.31952	-2.94286	-2.525443	-2.038058	6.314519	0	0
17182	280.9988	9.854822	238.8	269.1027	274.0081	280.1	288	293.3	323.8	0	0
17182	28.66666	1.029386	24.06893	27.33175	28.02549	28.83	29.34	29.72	33.5	0	0
17182	11.60423	.6454199	7	10.90111	11.33197	11.664	11.97	12.31686	14.994	0	0
17492	11.80254	6.68738	0	3	6	11	18	21	26	0	0
17492	.0039447	.0626843	0	0	0	0	0	0	1	0	0
6377	-3.141552	.7669383	-5.158738	-4.100781	-3.617533	-3.20378	-2.649535	-2.173011	1.439613	0	0
6377	-3.135402	.5996498	-5.158738	-3.858154	-3.526421	-3.151101	-2.769325	-2.41217	.6716862	0	0
6818	-2.812021	.7311524	-4.32643	-3.672796	-3.232975	-2.871673	-2.427301	-2.034258	6.732431	0	0
6818	-2.815039	.5848904	-4.530287	-3.460515	-3.181124	-2.85718	-2.503466	-2.181372	3.274951	0	0
2998	-2.856419	.8951053	-4.775679	-3.728125	-3.36461	-3.01725	-2.505021	-1.871076	3.274951	0	0
2998	-2.849961	.7467219	-4.775679	-3.589121	-3.292606	-2.951287	-2.553192	-2.0796	3.274951	0	0
1299	-1.676576	1.449912	-4.775679	-3.131117	-2.504914	-1.65309	-1.128237	-.2884532	6.314519	0	0
1299	-1.705832	1.250157	-4.775679	-3.123133	-2.501922	-1.773726	-1.128237	-.347425	6.314519	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
