	   (1) baseline	     (2) score3	     (3) score4	     (4) score6	     (5) score8
	           b/se	           b/se	           b/se	           b/se	           b/se
handicap	          0.672	               	               	               	               
	          0.039	               	               	               	               
hand_i	         -0.035	               	               	               	               
	          0.040	               	               	               	               
drivdist	               	         -0.022	               	               	         -0.009
	               	          0.004	               	               	          0.004
drivdist_i	               	          0.003	               	               	          0.003
	               	          0.004	               	               	          0.004
putts	               	               	          0.137	               	          0.172
	               	               	          0.030	               	          0.030
putts_i	               	               	         -0.038	               	         -0.045
	               	               	          0.039	               	          0.039
greenrd	               	               	               	         -0.687	         -0.682
	               	               	               	          0.049	          0.051
greenrd_i	               	               	               	         -0.021	         -0.023
	               	               	               	          0.058	          0.060
r2	          0.154	          0.141	          0.140	          0.149	          0.152
N	          17492	          17182	          17182	          17182	          17182
