	   (1) baseline	   (2) hand_max	   (3) hand_min	  (4) hand_top1	  (5) hand_top5	 (6) hand_top10	 (7) hand_top25	 (8) hand_bot25	 (9) hand_bot10	(10) tigeringrp	      (11) diff
	           b/se	           b/se	           b/se	           b/se	           b/se	           b/se	           b/se	           b/se	           b/se	           b/se	           b/se
handicap	          0.475	          0.471	          0.471	          0.471	          0.470	          0.470	          0.470	          0.470	          0.471	          0.471	          0.471
	          0.031	          0.031	          0.031	          0.031	          0.031	          0.030	          0.031	          0.031	          0.031	          0.031	          0.031
hand_i	         -0.031	         -0.045	          0.068	          0.017	          0.036	          0.059	          0.060	          0.029	          0.015	          0.019	          0.018
	          0.035	          0.083	          0.069	          0.042	          0.046	          0.049	          0.051	          0.050	          0.045	          0.042	          0.041
hand_iXdiff	               	         -0.034	         -0.034	         -0.033	         -0.038	         -0.042	         -0.040	         -0.035	         -0.035	         -0.034	         -0.034
	               	          0.013	          0.013	          0.013	          0.013	          0.013	          0.013	          0.013	          0.013	          0.013	          0.013
hand_max	               	          0.056	               	               	               	               	               	               	               	               	               
	               	          0.064	               	               	               	               	               	               	               	               	               
hand_min	               	               	         -0.056	               	               	               	               	               	               	               	               
	               	               	          0.064	               	               	               	               	               	               	               	               
hand_top1	               	               	               	         -0.042	               	               	               	               	               	               	               
	               	               	               	          0.249	               	               	               	               	               	               	               
hand_top5	               	               	               	               	          0.081	               	               	               	               	               	               
	               	               	               	               	          0.091	               	               	               	               	               	               
hand_top10	               	               	               	               	               	          0.117	               	               	               	               	               
	               	               	               	               	               	          0.074	               	               	               	               	               
hand_top25	               	               	               	               	               	               	          0.089	               	               	               	               
	               	               	               	               	               	               	          0.064	               	               	               	               
hand_bot25	               	               	               	               	               	               	               	         -0.030	               	               	               
	               	               	               	               	               	               	               	          0.076	               	               	               
hand_bot10	               	               	               	               	               	               	               	               	          0.027	               	               
	               	               	               	               	               	               	               	               	          0.157	               	               
tigeringrp	               	               	               	               	               	               	               	               	               	          0.026	               
	               	               	               	               	               	               	               	               	               	          0.369	               
r2	          0.157	          0.157	          0.157	          0.157	          0.157	          0.157	          0.157	          0.157	          0.157	          0.157	          0.157
N	          17492	          17492	          17492	          17492	          17492	          17492	          17492	          17492	          17492	          17492	          17492
