	   (1) baseline	 (2) inter_hand	(3) inter_exper	 (4) inter_both
	           b/se	           b/se	           b/se	           b/se
handicap	          0.672	          0.668	          0.660	          0.656
	          0.039	          0.039	          0.039	          0.039
hand_i	         -0.035	         -0.033	         -0.038	         -0.036
	          0.040	          0.040	          0.040	          0.040
handicapXhand_i	               	          0.077	               	          0.081
	               	          0.032	               	          0.033
first_year	               	               	          0.019	          0.019
	               	               	          0.004	          0.004
first_yearXhand_i	               	               	          0.015	          0.015
	               	               	          0.005	          0.005
r2	          0.154	          0.154	          0.156	          0.156
N	          17492	          17492	          17492	          17492
